symbol,name,index,yahoo,status
MMM,3M,SP500,MMM,ok
AOS,A. O. Smith,SP500,AOS,ok
ABT,Abbott Laboratories,SP500,ABT,ok
ABBV,AbbVie,SP500,ABBV,ok
ACN,Accenture,SP500,ACN,ok
ADBE,Adobe Inc.,SP500,ADBE,ok
AMD,Advanced Micro Devices,SP500,AMD,ok
AES,AES Corporation,SP500,AES,ok
AFL,Aflac,SP500,AFL,ok
A,Agilent Technologies,SP500,A,ok
APD,Air Products,SP500,APD,ok
ABNB,Airbnb,SP500,ABNB,ok
AKAM,Akamai Technologies,SP500,AKAM,ok
ALB,Albemarle Corporation,SP500,ALB,ok
ARE,Alexandria Real Estate Equities,SP500,ARE,ok
ALGN,Align Technology,SP500,ALGN,ok
ALLE,Allegion,SP500,ALLE,ok
LNT,Alliant Energy,SP500,LNT,ok
ALL,Allstate,SP500,ALL,ok
GOOGL,Alphabet Inc. (Class A),SP500,GOOGL,ok
GOOG,Alphabet Inc. (Class C),SP500,GOOG,ok
MO,Altria,SP500,MO,ok
AMZN,Amazon,SP500,AMZN,ok
AMCR,Amcor,SP500,AMCR,ok
AEE,Ameren,SP500,AEE,ok
AEP,American Electric Power,SP500,AEP,ok
AXP,American Express,SP500,AXP,ok
AIG,American International Group,SP500,AIG,ok
AMT,American Tower,SP500,AMT,ok
AWK,American Water Works,SP500,AWK,ok
AMP,Ameriprise Financial,SP500,AMP,ok
AME,Ametek,SP500,AME,ok
AMGN,Amgen,SP500,AMGN,ok
APH,Amphenol,SP500,APH,ok
ADI,Analog Devices,SP500,ADI,ok
AON,Aon plc,SP500,AON,ok
APA,APA Corporation,SP500,APA,ok
APO,Apollo Global Management,SP500,APO,ok
AAPL,Apple Inc.,SP500,AAPL,ok
AMAT,Applied Materials,SP500,AMAT,ok
APTV,Aptiv,SP500,APTV,ok
ACGL,Arch Capital Group,SP500,ACGL,ok
ADM,Archer Daniels Midland,SP500,ADM,ok
ANET,Arista Networks,SP500,ANET,ok
AJG,Arthur J. Gallagher & Co.,SP500,AJG,ok
AIZ,Assurant,SP500,AIZ,ok
T,AT&T,SP500,T,ok
ATO,Atmos Energy,SP500,ATO,ok
ADSK,Autodesk,SP500,ADSK,ok
ADP,Automatic Data Processing,SP500,ADP,ok
AZO,AutoZone,SP500,AZO,ok
AVB,AvalonBay Communities,SP500,AVB,ok
AVY,Avery Dennison,SP500,AVY,ok
AXON,Axon Enterprise,SP500,AXON,ok
BKR,Baker Hughes,SP500,BKR,ok
BALL,Ball Corporation,SP500,BALL,ok
BAC,Bank of America,SP500,BAC,ok
BAX,Baxter International,SP500,BAX,ok
BDX,Becton Dickinson,SP500,BDX,ok
BRK.B,Berkshire Hathaway,SP500,BRK.B,no_price_data
BBY,Best Buy,SP500,BBY,ok
TECH,Bio-Techne,SP500,TECH,ok
BIIB,Biogen,SP500,BIIB,ok
BLK,BlackRock,SP500,BLK,ok
BX,Blackstone Inc.,SP500,BX,ok
